"HCC","HCC label","beta","equity","equity_diff"
"CHF_gCopdCF",,0,0.01,0.01
"DIABETES_CHF",,716.16,635.21,-80.95
"HCC1","HIV/AIDS",1573.45,1949.43,375.99
"HCC10","Lymphoma and Other Cancers",7049.35,6911.87,-137.48
"HCC100","Ischemic or Unspecified Stroke",1539.58,1548.26,8.68
"HCC103","Hemiplegia/Hemiparesis",1043.07,1203.79,160.71
"HCC104","Monoplegia, Other Paralytic Syndromes",1946.84,1990.78,43.94
"HCC106","Atherosclerosis of the Extremities with Ulceration",8251.32,8239.27,-12.06
"HCC107","Vascular Disease with Complications",2587.44,2586.49,-0.95
"HCC108","Vascular Disease",2418.79,2392.22,-26.57
"HCC11","Colorectal, Bladder, and Other Cancers",3744.64,3636.42,-108.22
"HCC110","Cystic Fibrosis",7878.44,7599.93,-278.52
"HCC111","Chronic Obstructive Pulmonary Disease",3026.25,2900.56,-125.7
"HCC112","Fibrosis of Lung and Other Chronic Lung",2907.89,2871.83,-36.06
"HCC114","Aspiration and Specified Bacterial Pneumonias",989.94,979,-10.95
"HCC115","Pneumococcal Pneumonia, Empyema, Lung",1666.85,1620.26,-46.59
"HCC12","Breast, Prostate, and Other Cancers and Tumors",2145.35,2117.63,-27.72
"HCC122","Proliferative Diabetic Retinopathy and Vitreous",2905.99,3088.37,182.38
"HCC124","Exudative Macular Degeneration",6105.75,5872.26,-233.49
"HCC134","Dialysis Status",6677.66,6931.22,253.56
"HCC135","Acute Renal Failure",2641.54,2741.35,99.81
"HCC136","Chronic Kidney Disease, Stage 5",3262.44,3556.28,293.84
"HCC137","Chronic Kidney Disease, Severe (Stage 4)",3044.79,3154.69,109.9
"HCC138","Chronic Kidney Disease, Moderate (Stage 3)",1296.6,1369.97,73.36
"HCC157","Pressure Ulcer of Skin with Necrosis Through to",4490.19,4511.13,20.95
"HCC158","Pressure Ulcer of Skin with Full Thickness Skin",1868.65,1805.9,-62.75
"HCC159","Pressure Ulcer of Skin with Partial Thickness Skin",1918.76,1849.7,-69.06
"HCC161","Chronic Ulcer of Skin, Except Pressure",3509.61,3341.17,-168.44
"HCC162","Severe Skin Burn or Condition",1103.83,1131.22,27.39
"HCC166","Severe Head Injury",0.08,0.5,0.42
"HCC167","Major Head Injury",594.66,514.67,-80
"HCC169","Vertebral Fractures without Spinal Cord Injury",2582.92,2477.68,-105.24
"HCC17","Diabetes with Acute Complications",2621.44,2939.73,318.29
"HCC170","Hip Fracture/Dislocation",742.73,598.92,-143.81
"HCC173","Traumatic Amputations and Complications",107.72,70.29,-37.43
"HCC176","Complications of Specified Implanted Device or",4497.37,4424.79,-72.59
"HCC18","Diabetes with Chronic Complications",2178.4,2467.62,289.22
"HCC186","Major Organ Transplant or Replacement Status",9337.26,9267.14,-70.12
"HCC188","Artificial Openings for Feeding or Elimination",3100.34,3104.96,4.62
"HCC189","Amputation Status, Lower Limb/Amputation",3018.18,3046.54,28.36
"HCC19","Diabetes without Complication",903.64,1142.92,239.29
"HCC2","Septicemia, Sepsis, Systemic Inflammatory",1155.67,1131.42,-24.26
"HCC21","Protein-Calorie Malnutrition",0,25.31,25.31
"HCC22","Morbid Obesity",2054.1,2038.41,-15.69
"HCC23","Other Significant Endocrine and Metabolic",2933.75,2915.49,-18.26
"HCC27","End-Stage Liver Disease",5815.23,5794.09,-21.14
"HCC28","Cirrhosis of Liver",2556.6,2565.78,9.18
"HCC29","Chronic Hepatitis",1117.43,1723.7,606.27
"HCC33","Intestinal Obstruction/Perforation",2590.04,2575.63,-14.41
"HCC34","Chronic Pancreatitis",2807.84,2803.9,-3.93
"HCC35","Inflammatory Bowel Disease",4222.51,4051.29,-171.22
"HCC39","Bone/Joint/Muscle Infections/Necrosis",3908.01,3842.69,-65.33
"HCC40","Rheumatoid Arthritis and Inflammatory",4930.45,4880.01,-50.44
"HCC46","Severe Hematological Disorders",12288.01,12289.11,1.09
"HCC47","Disorders of Immunity",6241.15,6233.84,-7.32
"HCC47_gCancer",,5235.84,5294.08,58.25
"HCC48","Coagulation Defects and Other Specified",2142.13,2083.05,-59.08
"HCC51","Dementia With Complications",232.94,194.84,-38.1
"HCC52","Dementia Without Complication",0,0,0
"HCC54","Substance Use with Psychotic Complications",2581.85,2535.11,-46.74
"HCC55","Substance Use Disorder, Moderate/Severe, or",3075.39,3017.24,-58.15
"HCC56","Substance Use Disorder, Mild, Except Alcohol",3227.52,3557.64,330.12
"HCC57","Schizophrenia",2456.2,2596.18,139.98
"HCC58","Reactive and Unspecified Psychosis",2424.78,2409.06,-15.72
"HCC59","Major Depressive, Bipolar, and Paranoid",2441.22,2234.01,-207.21
"HCC6","Opportunistic Infections",3724.15,3640.69,-83.45
"HCC60","Personality Disorders",2395.85,2186.52,-209.33
"HCC70","Quadriplegia",5860.84,6040.01,179.17
"HCC71","Paraplegia",5813.29,5789.74,-23.55
"HCC72","Spinal Cord Disorders/Injuries",4609.62,4576.36,-33.27
